Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
Hot Fuzz,2007,91,99045,The brilliant minds behind,"As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the...",Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine"
The Warriors,1979,88,92758,"As violent as it is stylish,",A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are...,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
Starship Troopers,1997,72,77240,A fun movie...if you can accept the excessive gore and wooden acting.,"In the distant future, the Earth is at war with a race of giant alien insects. Little is known about...",Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
Elite Squad 2,2010,91,92049,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura)....",José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held"
Point Break,1991,69,75619,"Absurd, over-the-top, and often wildly entertaining,","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a...",Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
The Long Kiss Goodnight,1996,68,71669,"Smart, sharp-witted, and fueled by enjoyably over-the-top action,",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories...,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
The Guest,2014,92,97310,"Boasting enough intelligence to bolster its darkly violent thrills,",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on...,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley"
Taken,2008,60,66948,,"Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his...",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
300,2006,61,70756,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the...",Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
True Lies,1994,71,74615,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations,","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down...",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Demolition Man,1993,63,66576,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent,","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)...",Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
Hardcore Henry,2015,51,57627,,A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...,Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Darya Charusha"
Police Story,1985,93,95195,"Blending brilliant physical comedy with thrillingly choreographed set pieces,",A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...,Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung"
Brotherhood of the Wolf,2001,73,77378,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.","In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women...",Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel"
Kingsman: The Secret Service,2014,75,87647,"Stylish, subversive, and above all fun,","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing...",Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson"
The Fifth Element,1997,71,75316,"Visually inventive and gleefully over the top, Luc Besson's","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in...",Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich"
Big Trouble in Little China,1986,74,80500,"Brimming with energy and packed with humor,","Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's...",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
Atomic Blonde,2017,79,99286,,"Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of...",David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman"
Rumble in the Bronx,1995,80,83599,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,"Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a...",Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip"
District B13,2004,80,83343,"A nonstop thrill ride,","In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a...",Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Bibi Naceri"
Beverly Hills Cop,1984,82,86203,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly...",Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher"
Ong-Bak: The Thai Warrior,2003,85,88298,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.","In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily...",Prachya Pinkaew,"Tachakorn Yeerum, Pumwaree Yodkamol, Phetthai Vongkumlao, Suchao Pongwilai"
Collateral,2004,86,93948,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",A cab driver realizes his current fare is a hit man that has been having him drive around from mark...,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
Iron Monkey,1993,91,100216,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.","In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge...",Woo-Ping Yuen,"Yu Rong-Guang, Donnie Yen, Sze-Man Tsang, Jean Wang"
Escape From New York,1981,88,94822,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.","In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of...",John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef"
Battle Royale,2000,90,91222,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.","42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive...",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô"
Spider-Man 2,2004,93,102336,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is...",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina"
13 Assassins,2010,95,99835,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.","In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century...",Takashi Miike,"Kôji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki"
Full Contact,1992,89,80574,No consensus yet.,"Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating...",Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang"
Indiana Jones and the Last Crusade,1989,84,97031,"Lighter and more comedic than its predecessor,",An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist...,Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
Kung Fu Hustle,2004,91,97151,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",When the hapless Sing and his dim-witted pal Bone try to scam the residents of Pig Sty Alley into thinking...,Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung"
A Better Tomorrow,1986,93,93601,No consensus yet.,A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu"
Iron Man,2008,94,105596,"Powered by Robert Downey Jr.'s vibrant charm,","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him...",Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges"
The Night Comes for Us,2018,91,91929,"A bloody thrill ride designed to test the limits of more squeamish viewers,","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family....",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang"
Logan,2017,93,117017,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote...",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant"
007: Goldfinger,1964,99,106904,,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and...",Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton"
Assault on Precinct 13,1976,96,102023,"Lean, taut and compellingly gritty, John Carpenter's loose update of","When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way...",John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West"
Wonder Woman,2017,93,119934,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior....",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright"
The Chinese Connection,1972,83,84791,No consensus yet.,"Chen Zhen leaves his homeland of China and relocates to stay with family in Thailand. Chen, who swore to his...",Lo Wei,"Bruce Lee, Nora Miao, James Tien, Robert Baker"
Captain America: The Winter Soldier,2014,90,104858,"Suspenseful and politically astute,","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in...",Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan"
Oldboy,2003,83,88309,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the...",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han"
The French Connection,1971,96,107262,"Realistic, fast-paced and uncommonly smart, The","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler....",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco"
Furious 7,2015,81,94473,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft,","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew...",James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez"
La Femme Nikita,1990,89,92321,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a...",Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jeanne Moreau"
Supercop,1992,93,97633,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy,","To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he...",Stanley Tong,"Jackie Chan, Michelle Yeoh, Maggie Cheung, Kenneth Tsang"
Dirty Harry,1971,89,95044,"As tough and taciturn as its no-nonsense hero,",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...,Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch"
Edge of Tomorrow,2014,91,107290,"Gripping, well-acted, funny, and clever,","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj....",Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton"
X2,2003,85,93779,"Tightly scripted, solidly acted, and impressively ambitious,","Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of...",Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry"
The Fugitive,1993,96,103939,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her...",Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
Black Panther,2018,96,126035,,"After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place...",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
